번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
0,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,해I모y아5I서울,2026.01.27. 21:49,"조회 1,967",hwajakim2,준회원
1,생각하시는 최고의 SUV전기차는??? 추천 부탁드려요~~,미니심슨I대구,2026.01.27. 21:42,조회 998,panmankim,신입
2,재고 잡아서 계약했는데 뺏겼네요?,웰빙야채I경기,2026.01.27. 21:19,"조회 1,396",scol21,준회원
3,동생 사줄차 Ev4 시승 및 Ev5 전시차 보고 옴,파인드Ii5I서울,2026.01.27. 19:33,"조회 1,061",ffminjong,준회원
4,보험갱신기간인데 보험료가 170만원 나오네여,골웨이I아오5I인천,2026.01.27. 18:31,조회 959,gjdnlwjdqh,준회원
5,드뎌 당진도 가격이 떴네요,미녀기IEV4I당진,2026.01.27. 17:46,조회 788,hyuk3829,준회원
6,이 카드는 현존하는 최상의카드라고 생각합니다.,라바I코나I인천,2026.01.27. 17:32,"조회 1,729",8188991,준회원
7,[질문] 여성이 탈만한 초소형 전기차 추천 받습니다!!!,후라이드치킨l아산,2026.01.27. 16:34,조회 478,slgi950,신입
8,ev6 iccu터지고 대차받은 ev6도 iccu터짐,아렌Iev6I경남,2026.01.27. 16:00,"조회 1,151",djfmswnwkr1,준회원
9,저도 드디어 전기차 입문하네요ㅎㅎ(아오5),라라I대구,2026.01.27. 15:08,"조회 1,124",hi123i,준회원
10,[질문] EV5 최종가격이죠?,불꽃남자정대만14,2026.01.27. 15:00,"조회 1,774",iaba11,준회원
11,,,,,,
12,EV3 재고차 없다고하네요..,이브이lEV3l인천,2026.01.27. 14:38,조회 871,jylee0902v,준회원
13,[질문] 전기차 최대 단점이 뭔가요?,리오리I미정I울산,2026.01.27. 14:22,조회 684,whdgns910912,신입
14,현재 ev6 재고차 대부분 다 나갔다고 하네요 ㅠㅠ,삼식이I부산,2026.01.27. 13:27,조회 692,king99top,준회원
15,1/26 서울 보조금 신청 후,꿀튼파파I서울,2026.01.27. 12:51,"조회 6,216",wlswlsdl88,준회원
16,지자체 보조금 때문에 스트레스네요ㅎㅎ,꼬꼬달I대구,2026.01.27. 12:48,"조회 1,333",dal3356,준회원
17,셀토스 가격표 보고 느낀점,레드썬썬I부산,2026.01.27. 12:45,"조회 2,213",aysmedic,준회원
18,슬슬 전기차 보조금폐지했음좋겠네요,말포이lEV6l경기,2026.01.27. 12:35,"조회 1,967",warlockmania,준회원
19,"솔직히 말하면 전기차 불편하다는 말, 안 타본 티 남",부어lev6l서울,2026.01.27. 12:22,"조회 1,496",xotjq87,준회원
20,현재까지 보조금 액수 1등은,금빛동전I아5EV4I대구,2026.01.27. 12:14,"조회 1,468",10woncoin,정회원
21,EV5 vs 모델Y rwd,돌돌이아빠II대전,2026.01.27. 12:13,"조회 1,162",jbjent,준회원
22,ev3 ev4 재고차 이제 다 팔렸겠죠?,멥니I울산,2026.01.27. 11:08,조회 951,rlagpqls97,신입
23,대전 보조금 나왔네요,계란톡톡I대전,2026.01.27. 11:08,"조회 1,082",qwjms,신입
24,ev4 차주분들은 선택한 이유가 있으신가요?,루시맘IEV4I전남,2026.01.27. 10:56,조회 635,cometomegod,신입
25,[질문] Ev3 시 보조금이 확정되야 재고차 출고가능한거죠?,다둥빠IEv3I아산,2026.01.27. 10:31,조회 633,kisunkim277,준회원
26,보조금탈락?되는건 언제 알수있나요?,콩콩마l구미,2026.01.27. 09:30,조회 594,ggossin1,신입
27,현대 금리인하 이벤트 하고도 욕먹고 있네요,달려I아이오닉6NI서울,2026.01.27. 09:26,"조회 1,588",jdw1122,준회원
28,"결국 다시 ev5 로 계약했네요 -,.-;",디엔장l서울,2026.01.27. 08:37,조회 884,unknownjoon,준회원
29,,,,,,
30,씨라이언7 타시는분,세콤달콤I창원,2026.01.27. 08:35,조회 912,kijun122,신입
31,전기차를 오래 타신 분 계실까요?,미피라네,2026.01.27. 08:29,조회 620,ehdms22,준회원
32,씨라이언7 단점=,듑l타이칸911김포,2026.01.27. 08:20,"조회 2,344",adsl55,우수회원
33,모델Y RWD vs EV6 GT-Line,둘화I세종,2026.01.27. 08:03,조회 536,kings6767,신입
34,EV3도 iccu 잘터지나요,이지파,2026.01.27. 07:50,조회 762,toahnjun,준회원
35,"현기경영진, 더 늦기전에 시행하세요",조셉l수원,2026.01.27. 07:41,"조회 1,025",zentraud,정회원
36,전기차 타보니 연비보다 중요한 게 따로 있네요,부어lev6l서울,2026.01.27. 07:11,"조회 1,417",xotjq87,준회원
37,안녕하세요 EV3 이랑 EV4가 너무 고민됩니다.,전주노사뷰,2026.01.27. 07:10,조회 519,bookzzang012,신입
38,하루 140키로 왕복 전기충전요금,광부I니로I평택,2026.01.27. 06:32,조회 628,alstjr6662,준회원
39,아이오닉5가 비싸긴 비싸네요,아야세I용인,2026.01.27. 06:20,"조회 1,575",inex17,준회원
40,차빼달라고 전화 했으면 최소한 미안하고 고맙다고는 해라,화이팅폴스타2경기,2026.01.27. 05:13,"조회 1,378",2690106,준회원
41,BMW 무제한 충전 차지비 월 사용량과 패턴. 정지 예방에 관하여,오승환V서울,2026.01.27. 04:24,조회 500,aman18,준회원
42,아이오닉9 지금 산다 (1월) vs 더 기다린다,매튜I서울,2026.01.27. 01:11,조회 640,byseob,준회원
43,iccu 잘 터지나요..,앙팡임I대구,2026.01.27. 00:41,조회 733,dmldid00,신입
44,전기차 보조금 부터 출고까지의 기간,당근l대전I아이오닉5,2026.01.27. 00:18,조회 541,whangus17,신입
45,ev5 깡통 탈만할까요?ㅋㅋ (3857만원...),부산ll노력,2026.01.26. 20:45,"조회 2,200",leedj2892,준회원
46,보조금이 깡패긴하네요,구름li5l전남,2026.01.26. 17:57,"조회 2,446",bawz,신입
47,,,,,,
48,EV4가 셀토스보다 낫죠?,아이온lEV4l서울,2026.01.26. 16:49,"조회 3,477",sayden,준회원
49,2만km 페리오닉5 iccu 당첨,뚜비I아5I경기,2026.01.26. 14:32,"조회 1,613",dong5247,신입
50,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,,,조회 637,cometomegod,신입
